,Date,Mortgage Rate
708,2010-01-01,4.8
709,2010-02-01,4.73
710,2010-03-01,4.71
711,2010-04-01,5.15
712,2010-05-01,5.3
713,2010-06-01,5.18
714,2010-07-01,5.02
715,2010-08-01,4.82
716,2010-09-01,4.6
717,2010-10-01,4.52
718,2010-11-01,4.45
719,2010-12-01,4.5
720,2011-01-01,4.55
721,2011-02-01,4.68
722,2011-03-01,4.7
723,2011-04-01,4.87
724,2011-05-01,4.83
725,2011-06-01,4.6
726,2011-07-01,4.57
727,2011-08-01,4.52
728,2011-09-01,4.42
729,2011-10-01,4.35
730,2011-11-01,4.38
731,2011-12-01,4.36
732,2012-01-01,4.31
733,2012-02-01,4.23
734,2012-03-01,4.21
735,2012-04-01,4.36
736,2012-05-01,4.35
737,2012-06-01,4.25
738,2012-07-01,4.23
739,2012-08-01,4.23
740,2012-09-01,4.2
741,2012-10-01,4.17
742,2012-11-01,4.15
743,2012-12-01,4.15
744,2013-01-01,4.14
745,2013-02-01,4.11
746,2013-03-01,4.02
747,2013-04-01,4.02
748,2013-05-01,4.02
749,2013-06-01,4.0
750,2013-07-01,4.08
751,2013-08-01,4.14
752,2013-09-01,4.33
753,2013-10-01,4.4
754,2013-11-01,4.39
755,2013-12-01,4.39
756,2014-01-01,4.38
757,2014-02-01,4.32
758,2014-03-01,4.16
759,2014-04-01,4.02
760,2014-05-01,4.02
761,2014-06-01,4.0
762,2014-07-01,4.01
763,2014-08-01,4.01
764,2014-09-01,4.02
765,2014-10-01,4.0
766,2014-11-01,4.0
767,2014-12-01,3.98
768,2015-01-01,3.96
769,2015-02-01,3.91
770,2015-03-01,3.84
771,2015-04-01,3.76
772,2015-05-01,3.74
773,2015-06-01,3.72
774,2015-07-01,3.71
775,2015-08-01,3.71
776,2015-09-01,3.71
777,2015-10-01,3.72
778,2015-11-01,3.72
779,2015-12-01,3.75
780,2016-01-01,3.76
781,2016-02-01,3.75
782,2016-03-01,3.73
783,2016-04-01,3.7
784,2016-05-01,3.67
785,2016-06-01,3.66
786,2016-07-01,3.67
787,2016-08-01,3.68
788,2016-09-01,3.67
789,2016-10-01,3.68
790,2016-11-01,3.7
791,2016-12-01,3.74
792,2017-01-01,3.73
793,2017-02-01,3.75
794,2017-03-01,3.66
795,2017-04-01,3.62
796,2017-05-01,3.59
797,2017-06-01,3.6
798,2017-07-01,3.72
799,2017-08-01,3.82
800,2017-09-01,3.89
801,2017-10-01,3.98
802,2017-11-01,4.04
803,2017-12-01,4.07
